index;Alternaria eichhorniae;Others;Aspergillus flavus;Cladosporium herbarum;Simplicillium sp;Fusarium oxysporum;Didymellaceae sp;Symmetrospora coprosmae;Alternaria sp;Rhizopus arrhizus;Rhizopus microsporus;Metschnikowia sp
Uncoated;2,925766884;0,051365289;0;0;2,467588502;0;0,024655339;0;0,113003637;93,96355119;0;0,454069158
0x;12,40330622;3,466896358;2,186480264;1,273790396;0,05963128;6,615759222;3,741862815;0;2,555862914;67,35849994;0;0,337910586
1x;25,86959137;5,309947404;1,778001334;0,370690315;0,837607025;0,199013679;0,306174891;0,97;2,377229336;55,59370592;6,162863173;0,229631169
2x;1,213552429;0;0;5,85347721;1,23869811;0;0,353132824;0;2,421638405;88,25915357;0;0,660347448
4x;24,13239471;0,200691614;0;0;0,101889589;0;0,348894652;0;0,006175127;74,84562184;0;0,364332469
